Gamma,Theta0,Theta1,X_mid,Z_mid,X_end,Z_end
-0.5080886103199348,2.3301144983620166,-3.710143698822239,-0.12322736859879396,-0.26885959761769956,-0.30511271773748283,-0.5002388035080657
-0.49589773356974926,2.2707465444982535,-3.5948385925296193,-0.12063914924212153,-0.2704439124223374,-0.30033866075713256,-0.5041751767547017
-0.48372795814313496,2.240251137134642,-3.555272112583433,-0.11877407347401528,-0.2706123867457854,-0.2956743711584696,-0.5065091171228647
-0.4716993616067335,2.173769465408264,-3.4266594327498487,-0.11582859646447236,-0.27230794485187565,-0.2901202139765276,-0.5107365635972668
-0.45975665006071703,2.133379103807629,-3.3576607487014822,-0.11422854385187436,-0.2738687460122162,-0.285669152858088,-0.5133395031807518
-0.44793949414617773,2.0645373623211216,-3.2195214087167656,-0.11092064745572225,-0.27482098739096733,-0.27974857714335666,-0.5166470151419174
-0.4361670233652273,2.0376483102881524,-3.1944659084948945,-0.10930159878809756,-0.275252151069396,-0.2748869688669991,-0.5192801778555417
-0.42445897865833226,1.9819817782451614,-3.0871159774631804,-0.10680121303513868,-0.2766357860276277,-0.2699125112348093,-0.5223878123071662
-0.4128496981603365,1.9354474986339736,-3.0068798066432727,-0.10465235162422787,-0.2778924366997224,-0.26495666384748306,-0.5255146328700451
-0.4012624708620491,1.8773631807253763,-2.8951744023659263,-0.10177514494543935,-0.278524902962706,-0.2592242204195096,-0.5279988409061661
-0.3898583264829992,1.8600615055464698,-2.883251105910528,-0.10065149260067746,-0.27871317282067726,-0.2556796670195133,-0.5297673389836569
-0.37846268174431524,1.8001271426493881,-2.7732893829272234,-0.09785771199489811,-0.280135645169186,-0.24964329620701264,-0.533099031887272
-0.3671303085642406,1.7663222434155776,-2.73110536868326,-0.09610459272299779,-0.28113112430086257,-0.24456268391231295,-0.5359861340954168
-0.3558640125377975,1.7015352892813858,-2.598054620169498,-0.09309883788602623,-0.2821978382635353,-0.23908599420633148,-0.5385597945366564
-0.34471324865776504,1.6411546572532474,-2.4728474851133946,-0.09006084680978929,-0.2822636011627799,-0.23383158302626741,-0.5404884324864061
-0.3336307374058329,1.5862743942295892,-2.368796387236846,-0.08768468952304177,-0.28380008136495327,-0.22849681263983118,-0.5431981872007011
-0.32257112390116893,1.561576221464539,-2.3383665392229367,-0.08625374670109773,-0.2841885856723572,-0.22476198122008736,-0.5453419901230645
-0.3116142732214757,1.5110883448484411,-2.248891973655245,-0.08375521420952907,-0.28492041580467564,-0.21889103999578988,-0.5473283373210674
-0.30064574956499607,1.4697859897393215,-2.1823686403020384,-0.08180016449725544,-0.286335585897078,-0.21400896404419067,-0.5501909124550911
-0.2897727833360889,1.4190440969076625,-2.0898983772196997,-0.07937432174157004,-0.2875174539476498,-0.208721038524595,-0.5527881199418255
-0.27893726183504863,1.3720664555151503,-1.9994906060332382,-0.07700679228464775,-0.28774867864037157,-0.20389556366713787,-0.554265093964384
-0.2681965283456752,1.3433093345169689,-1.9666064164753678,-0.07541729858317305,-0.28849215916991067,-0.19909901665933777,-0.5564785430224114
-0.2574893886957354,1.2795731707046678,-1.8287082644827612,-0.07237951444522814,-0.2888900497875153,-0.19399863370456283,-0.5579418538530748
-0.24683320952885981,1.2365852102999326,-1.7579610577156226,-0.07024609194210422,-0.28975176970118083,-0.18867714438912084,-0.5601717132619243
-0.23616040828508908,1.2090629003250115,-1.7338522105449825,-0.06845224046942758,-0.28975176343458314,-0.18309896290729658,-0.5616608178538839
-0.22557647164834385,1.1824272180290354,-1.704126632155591,-0.06688789240397028,-0.2904385110612919,-0.17866690044637845,-0.5640158891387076
-0.21506175308882083,1.1328593938941376,-1.6078640652203817,-0.0645387558561281,-0.2914553139757111,-0.17378258744556943,-0.5657121516372203
-0.20451642390279878,1.0762135192805564,-1.4856772665820506,-0.061863979170983796,-0.2916620637398956,-0.1691263160789089,-0.5667680466255602
-0.19404977403946408,1.0028806307390217,-1.334685159602654,-0.05846624715368171,-0.29230952439698743,-0.16254076348217827,-0.5685899397135086
-0.18357408684377194,0.9942092727526994,-1.3596519307158736,-0.05746701075534509,-0.29248558798394264,-0.15774182249754107,-0.5700575241530261
-0.17311580083369485,0.946654076199069,-1.268778341515997,-0.05512077993871758,-0.2929263330455948,-0.1528114658968447,-0.5714635454991004
-0.16274370141863265,0.8950468046890381,-1.1661313283924497,-0.0526585008998404,-0.2937816530366321,-0.14796354794193542,-0.5732110681349346
-0.15237632942462104,0.8505889218576297,-1.083604260831908,-0.05037577441315538,-0.2934052413939719,-0.14284970504233663,-0.5737919015635456
-0.14202171774134992,0.8245132225271782,-1.0541423049572363,-0.048842492901578306,-0.29434876662538334,-0.13842203150674412,-0.5756716192209594
-0.13169265273082795,0.800409910575585,-1.0331468971338902,-0.04729091868902111,-0.29471573126774014,-0.13362255545832544,-0.5774601169861765
-0.12138133482212886,0.7473017579506708,-0.9389143096420965,-0.04452929828865878,-0.2955483796574661,-0.12747094012644472,-0.5793068493417345
-0.11105329755646079,0.6920891897562311,-0.8306753548361537,-0.04179999651935724,-0.2951964201656312,-0.12174703385764746,-0.5798028534862666
-0.10072998306699806,0.640255230350564,-0.7278791827873904,-0.03927742807228125,-0.29581786931394766,-0.11672027952685235,-0.5811723149119101
-0.09044038756368468,0.6097538497831252,-0.6838771262044524,-0.03761793598250376,-0.29653389964516697,-0.11215370172838204,-0.5822319009377006
-0.08008793041572339,0.5722894654871222,-0.6188084203737225,-0.035594027799218324,-0.2968629435821604,-0.10764903918548796,-0.5836368960122976
-0.06977532084354961,0.5456410814680269,-0.5941035439912353,-0.033938813536330964,-0.2970713139503708,-0.1022770189896447,-0.5847238373654116
-0.059480112698778,0.495676769317104,-0.49562274911375703,-0.03149733910673681,-0.29694859185603867,-0.09712532714705428,-0.5848147229449184
-0.049133651205728095,0.4521316284668288,-0.4124223442153656,-0.02932408325116813,-0.29711745791107785,-0.09247576472685974,-0.5855239255158465
-0.038785141955772956,0.424919094694759,-0.37862722157806644,-0.027643277245363286,-0.29730861557210414,-0.08792922599803576,-0.5867839278896928
