ts,base_pos_x,base_pos_z,mid_pos_x,mid_pos_z,end_pos_x,end_pos_z,assumed_base_Y,assumed_mid_Y,assumed_end_Y
1690194480906130769,0.0026338924288728943,0.6971050088832255,0.018871337268907763,0.3973693506356408,0.003719993691194806,0.10511701686533337,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194481065806801,0.002497222378735356,0.6976135950322218,0.018129173885169436,0.39886162728612434,0.0008928177086085336,0.10616475476548137,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194481233692231,0.0008616721983147058,0.6951512109516592,0.01752626966279718,0.39856971669659896,0.002380729965580428,0.10472625344068065,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194481400460565,-0.0006465357093316717,0.697428801036392,0.019533527816767877,0.3985916379077322,0.0024650140300113213,0.10576692456852277,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194481567689875,-0.0014672936544257355,0.6972196442612771,0.019325397241265904,0.3972500701766619,0.00265857825622412,0.10562980962249857,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194481734245698,-0.00038730797744878677,0.6983914811997564,0.01765764919386719,0.39762599744433785,0.0029089082096781568,0.10464517599996481,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194481902291026,0.0009881607254049688,0.6976108184690549,0.020111829925374636,0.3977866358991989,0.001369998914503203,0.10545704951919699,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194482069710513,0.0016524500596737293,0.6990948692626915,0.020617258916365323,0.3978922641419466,0.0005672876254109258,0.10547618737942388,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194482235006098,8.308494349797309e-05,0.6972133610159079,0.019545007589770604,0.396196224004879,0.0040029875656846705,0.10388699647000932,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194482413464703,0.0018340643428134042,0.6968884567119615,0.01897057369487058,0.3982586804115649,0.002622520600761376,0.10585941004307176,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194482568496096,0.004228582370899077,0.6994883699039913,0.018129173885169436,0.39886162728612434,0.0003233727294745907,0.10562284127254618,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194482746482857,0.0010380730585652156,0.6980324578514657,0.02033070835528882,0.3981817992486939,0.0033183468121113988,0.10547720985232556,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194482903528006,0.0014130798648279517,0.698038656219267,0.020300623625636477,0.3988138251387196,0.0020833938441165867,0.10550265314818486,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194483071038924,0.0007491881656337112,0.6974385597073917,0.018125160111999085,0.39733793543640256,0.0017696331560322666,0.1053498267431765,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194483238126542,-0.0016663484922636324,0.6967722897156294,0.01897057369487058,0.3982586804115649,0.001585689917137192,0.10572034413620746,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194483404926788,0.00076693426934679,0.6976071645862103,0.020167592361473044,0.3969973510798674,0.0027629984979434027,0.10539233014992766,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194483571811479,0.0015391733003021334,0.6966813293984823,0.020878129201985736,0.39775726408447615,0.0007763346385809156,0.10529947893505898,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194483738023720,-0.0011620744398856894,0.6966917979748943,0.017873873454236265,0.39892447252644647,0.00296816975309519,0.10573061925530991,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194483906443592,0.005621275512735332,0.6963485110397176,0.02111304837966652,0.397108441567412,0.004383456477941822,0.104940000218264,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194484072994953,-0.00011507526368810875,0.6945189020797462,0.019908546578720245,0.39835299566490207,0.0021480382678438527,0.10515982048893824,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194484241650659,0.0014267317299984372,0.6990490360687699,0.01919512677620927,0.3977813277024771,0.0039046871308464123,0.10513007695173293,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194484409216232,0.000248610167342473,0.6974483271546367,0.018129344720517665,0.39892647908921863,0.003113298438320233,0.10384541436108619,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194484578068726,0.0012655076998546247,0.6985485787473242,0.01986172046018564,0.39653626531226904,0.0031954446910009548,0.10527467986013916,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194484752727061,0.0018779051396861073,0.6967097583616645,0.01949450686642168,0.39769592560111156,0.004367495911345099,0.10508911479591365,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194484919984948,0.0017229471638600755,0.6966843596962589,0.020432384027799254,0.40017702379066616,0.002153038446512037,0.10538357909402107,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194485087462141,0.0005330228800703978,0.6974229685578431,0.0191699280163678,0.39908289054328266,0.0006891768834310676,0.10520602399266821,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194485248583592,0.0028661112062660296,0.6986639484859184,0.018039159108255483,0.3982573681000839,-6.350809412812922e-05,0.1059966115517097,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194485409417052,0.0018906360180469418,0.6972610458622133,0.02029569048738624,0.3971279946436584,0.0019090627853663774,0.1053837410763181,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
1690194485588743395,0.0033759842648492626,0.6950879255658499,0.01752626966279718,0.39856971669659896,0.0009893625332392294,0.10503645816779716,-0.21031575571418878,-0.21031575571418878,-0.21531575571418876
