ts,Img,X_mid,Z_mid,X_end,Z_end
0.0,1712069537467252577,0.19556044977537768,0.5835498283266678,0.17292271631721332,0.3656277572529063
0.16666666666666666,1712069537634771834,0.1956953553089917,0.5835482208341487,0.17332204330310405,0.3656248470279183
0.3333333333333333,1712069537801500863,0.19755949256154529,0.5836543509378387,0.17756009978746815,0.3657213202215729
0.5,1712069537975374887,0.2043094244509797,0.5843613113410568,0.19075347137959442,0.3664064898165655
0.6666666666666666,1712069538136141310,0.21125889426301175,0.5857213852101972,0.2033324664337924,0.3677463282263987
0.8333333333333333,1712069538303277180,0.21947176148324807,0.5870212179882722,0.21660254003714888,0.3691612995260107
1.0,1712069538469980294,0.22616479969493905,0.5883417729013388,0.226184668711067,0.3710499851525699
1.1666666666666665,1712069538636638083,0.23087085104063826,0.5896858192091244,0.23139282270652,0.3724007701815043
1.3333333333333333,1712069538803469788,0.23454486977523092,0.5910409352196238,0.23513883047458992,0.37376104821742345
1.5,1712069538970170420,0.23904920103144012,0.5923864434096534,0.24077122335830226,0.37523178651948075
1.6666666666666665,1712069539136954532,0.24470471344061764,0.5938405625820159,0.24982076332252393,0.377244241815604
1.8333333333333333,1712069539304251097,0.25034774666534326,0.59574058630185,0.2583543078814906,0.37925205481414964
2.0,1712069539472610582,0.25561531229426687,0.5971808718701217,0.2641275836047235,0.3811597286282216
2.1666666666666665,1712069539638421589,0.25918487928351286,0.5991251188452411,0.26763230467268223,0.38252516163303524
2.333333333333333,1712069539806085829,0.2628227493168271,0.6004712211101134,0.2715566836680511,0.3839870163907989
2.5,1712069539973712313,0.267274594760942,0.601919472037561,0.27802283876528117,0.38600850661864994
2.6666666666666665,1712069540140031132,0.27283091143064125,0.6039495894321595,0.2856834602036408,0.3880301615272922
2.833333333333333,1712069540308075194,0.2776455803622039,0.6058657324622049,0.292861294600428,0.39003780841149766
3.0,1712069540475528954,0.28177044588566236,0.6073095677866899,0.2974194904315501,0.3919711491626079
3.1666666666666665,1712069540642114377,0.2853214767563035,0.6091568116611453,0.3004206368453529,0.39343587333159463
3.333333333333333,1712069540808801757,0.28905619653351167,0.6100144987271119,0.30501749235151027,0.3954775365351912
3.5,1712069540975463117,0.2940091247177134,0.6120471910815829,0.31207064141433444,0.3975995938950801
3.6666666666666665,1712069541142757067,0.29884472595508826,0.6141727331512402,0.31939688167904884,0.40020038337031805
3.833333333333333,1712069541310458818,0.30308195940363525,0.6167054891769548,0.32474276100198385,0.40222223089971954
4.0,1712069541477456915,0.30721461867235816,0.6180467107613608,0.32882290029982186,0.4041677615731709
4.166666666666666,1712069541644444704,0.31084043985188936,0.6194889058849506,0.3325790590471473,0.40570502203103803
4.333333333333333,1712069541810263767,0.31510332957842874,0.6215359806419906,0.33826707821098395,0.4083403363270178
4.5,1712069541977837172,0.31932797353545644,0.623564689465508,0.3444862560652357,0.41044497402834684
