ts,X_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end
1692024781986635208,0.3852099122333658,0.5793284546883413,-2.0476332114331273,0.3917823570007596,0.588040904308603,0.5823928456045687,0.4150079457263136,0.5841387274270988,0.1170679549820337,1467,294,1712,503,1748,882
1692030778621494055,0.45830366030286696,0.5315407828645045,-2.3516314817216677,0.4676651997498948,0.538802654330391,0.6506153994325963,0.38851514724686326,0.6553703304136814,0.09822418086646423,1562,353,1798,536,1841,907
1692025471501895428,-0.39451477800732004,0.6390750066406574,2.3518371163286993,-0.39710193977528196,0.6413051513048316,-0.589614474865299,0.48945487315796316,-0.6534029732515675,0.20617380524304985,499,219,242,399,122,762
1692025533805408716,-0.31564655144382414,0.6756561653092932,2.135618635822608,-0.3191203463561904,0.6757966361343293,-0.49814833348178456,0.4944490076919614,-0.5570767366888596,0.2063544657975912,598,180,360,394,252,762
1692025591933224201,-0.2508324720281502,0.7326438316803296,1.705033506874461,-0.257197621011684,0.7348744968285958,-0.3992072128362018,0.5028194781836722,-0.45012461447594326,0.21255360144279878,677,113,487,385,396,754
1692025629348760128,-0.1872419938589363,0.7727035522486799,1.351611500461589,-0.18691057332954447,0.7721591579037809,-0.30427370801549053,0.5120268038424136,-0.35071954702882613,0.22104602878966495,764,72,608,375,529,743
1692025660083023310,-0.11643180646007766,0.796602615005263,1.1029463304010354,-0.11464437621151949,0.7974673173391446,-0.20942368071935963,0.52212344132637,-0.2519652467361772,0.2280877965393544,852,45,728,364,660,734
1692025690149059057,-0.052376579150050145,0.8183475793100807,0.8228386883677781,-0.04828795862736421,0.8202146929635971,-0.11943896121972482,0.5330688380232251,-0.15633778720126362,0.23822094232102997,932,21,841,352,786,721
1692025720215118647,0.08473439505536867,0.7961779829198725,1.111595000757676,0.08893848098512769,0.7985994352984872,-0.014180422200956888,0.5234241119150773,-0.05746151035117712,0.23162188644851223,1096,48,972,365,915,730
1692025759301058054,-0.17084130593458707,0.7461741968540736,-1.5342109797491408,-0.1683681363225486,0.7539588592403129,-0.007748506650091629,0.5276544081001517,-0.013667353839547059,0.2347915256334756,786,93,980,360,972,726
1692025805903390884,-0.06651150311547853,0.7510140794491821,-1.4909783667119827,-0.06360256529074103,0.7566812531119951,0.08914622969426454,0.5278870522776279,0.08667729945651356,0.23429195303611416,913,92,1100,361,1102,727
1692025842984941006,0.032214489117237566,0.7494521665173289,-1.5038508792837606,0.035971811990418975,0.7548899027256188,0.18808043656835324,0.5239560614016141,0.18604235945697464,0.23455426731467477,1033,96,1222,367,1230,727
1692025880233513355,0.10969116416285543,0.720065956946704,-1.7422414774838606,0.11226739994490664,0.7279443325443301,0.28498653233722193,0.5199819199241104,0.2848541579395636,0.22634484997409887,1125,128,1341,373,1357,738
1692026108234564543,0.22984861532840858,0.7459141783265939,-1.5288275359423773,0.23820569574064182,0.7504216166362451,0.3849337880924291,0.5193736677289698,0.3797270908783054,0.22657245455213804,1275,105,1463,375,1478,738
1692026150494105577,0.285983257315293,0.6801824599503592,-2.0405303544531224,0.2922304290073054,0.6886989765617969,0.48435838030666284,0.5153886657960399,0.48797464918064337,0.21833304636922157,1342,176,1584,381,1616,749
1692026199602032661,0.3716308551463824,0.6483654958337854,-2.265186852253356,0.37958567191661385,0.6594621463831848,0.5815208301496823,0.5088353254368678,0.587296899490722,0.212361555269708,1448,211,1702,390,1742,757
1692030839588956356,0.41932111385102827,0.6041497440243058,-2.3516309123352386,0.42641187818936754,0.6133653003749988,0.6114319694360569,0.4589855911199101,0.616127659552478,0.16937759174229017,1507,265,1743,450,1783,813
1692026474361738205,-0.348821158087298,0.6901681006317437,2.3521226327282796,-0.35226555965963696,0.6942226275465326,-0.5466413452983759,0.5389724550643273,-0.613966974822426,0.25505214487319183,558,158,302,339,181,697
1692026528814688206,-0.2951975874442719,0.7355401991464722,2.3523575347995678,-0.300588501989759,0.7385028623777394,-0.4929438901896615,0.5810659276256118,-0.5588526134032811,0.29560236745326407,624,108,374,289,259,644
1692026575751191139,-0.20921945080011942,0.762006961934403,2.236132346635723,-0.21466704553056332,0.7637128446209636,-0.40162204643393373,0.5914388397225709,-0.4642259876709537,0.30294606224084,730,81,490,278,385,635
1692026619347057104,-0.1173246118139209,0.7793377492371752,2.1153329094700166,-0.12266382969241404,0.7804153211204595,-0.30114468071873235,0.5910618237041436,-0.3601511106606611,0.303432807535133,842,64,616,280,522,635
1692026656261494398,-0.03030901724820524,0.8032235131947727,1.940556306007332,-0.03735374596762833,0.8060744550063222,-0.20267711862295396,0.5957084747500114,-0.2585953740903299,0.3062312974159882,945,37,739,276,655,632
1692026704367170095,0.06311838368965038,0.8139698430452849,1.8595553783967478,0.06056856922162615,0.8160219160457967,-0.10191871763780805,0.598713975611261,-0.1547795654785292,0.30672379796584803,1062,28,864,274,790,632
1692026747294901609,0.17068718564848923,0.8022592780546838,1.9500186453660977,0.16725889674469224,0.8054572347600767,-0.007848951513782041,0.5999442973882145,-0.06665674476800339,0.31025942927397665,1189,42,980,274,904,628
1692026788886322260,-0.22070459537598677,0.7673824040186765,-2.1406856974376836,-0.21992713421401072,0.7750975909114336,-0.018463992873333827,0.6168139492008587,-0.010750372457946166,0.3238309668863908,724,68,967,254,976,611
1692027040773435354,-0.0989127165609961,0.8071734914968176,-1.8450739335337247,-0.09491327774354041,0.8130354070453112,0.08115812449882308,0.6156018102674586,0.08069032189013244,0.3243078271917327,876,28,1089,257,1093,611
1692027081362402201,0.004813328029904654,0.8130120108051981,-1.7991912095072624,0.010267561653563998,0.8204501446639245,0.18047731860754987,0.6152289363481251,0.17731965301803043,0.3240237264788908,1002,22,1210,259,1216,612
1692027124457183599,0.08474539007754728,0.7778099971299827,-2.061036016775117,0.08963592473852555,0.7860845328668158,0.2785959787017443,0.6131150547462391,0.2781825159885976,0.3174426083190809,1097,62,1329,263,1344,621
1692027171393650770,0.1785248731817165,0.7648135254318242,-2.1537470788263944,0.18505703309983781,0.773527799181859,0.3787508698226527,0.6092936156294292,0.38202326491214184,0.3147982553865759,1211,78,1450,269,1475,625
1692027219666445494,0.2698001305887087,0.7436523478681047,-2.3003782171753113,0.27535927114319536,0.7546212449479511,0.4761581217582341,0.6079958971056988,0.482387021713178,0.3121213050412338,1319,101,1567,272,1601,629
1692027273952452183,0.3362569051474302,0.7020798541588025,-2.3532720816147426,0.3443085397495126,0.711482694849177,0.5455774589627442,0.5728509774042451,0.5573537059917413,0.27616078928995635,1403,151,1653,314,1698,675
1692030901558442831,0.3785197198261647,0.6586234870110295,-2.351943470310552,0.38668191735054214,0.6674098910972899,0.5710582795039228,0.5129328837248155,0.5737598355412711,0.22161398674892152,1456,202,1689,385,1724,745
1692027511474673271,-0.3085013899689886,0.7254663378864026,2.3524870000721045,-0.31159875577563256,0.7287133220211015,-0.5100178519744899,0.5766823256269691,-0.5765323841449078,0.2909323222321909,610,119,352,294,235,650
1692027565426694632,-0.25375262785629626,0.7628771219104056,2.3528218560004355,-0.2583001169017543,0.7673395762265331,-0.4526241676767384,0.6075592154047813,-0.516337978855905,0.32273970515627226,677,76,427,258,318,609
1692027616205039978,-0.18329722878299956,0.7973662040601983,2.3532088983723964,-0.19091676237791783,0.8004868540002881,-0.3809624728686094,0.6389879776813254,-0.4461303004388888,0.35344044443302414,760,40,519,222,413,570
1692027668653721571,-0.09748704426021895,0.8226471415405876,2.3538648580766295,-0.10346697037266922,0.8299237790845244,-0.2960948956756439,0.6658455563075704,-0.36077010310071705,0.3767432898984569,866,9,626,192,526,541
1692027718930912971,-0.002031501272029168,0.8322863268144552,2.3540538202083297,-0.0056630333184458925,0.838169374636442,-0.20157035257792305,0.674157023519163,-0.2669212935407792,0.3860832404912179,983,2,743,184,648,530
1692027769375178814,0.09371443341479702,0.8234771448123265,2.354330950521016,0.0892709066012885,0.8282970140825106,-0.10771479435550758,0.6635171116008114,-0.17658140401503897,0.37799588023072694,1096,15,858,198,764,541
1692027819151357889,0.17986707663397966,0.7988632190286611,2.35452998546965,0.17563420954101683,0.8029167961603987,-0.021796107522299466,0.639850577793041,-0.0889030688225028,0.3532674177289068,1199,45,963,227,876,573
1692027872602214813,-0.20976033038744354,0.7860412742351595,-2.355423223785347,-0.20896835972925307,0.7956965475485186,0.001905570446846772,0.6634272362416515,0.013504773248845825,0.3721270333189889,738,45,992,200,1007,550
1692028081227598667,-0.12764042648191298,0.8157907176826746,-2.3550385409184047,-0.1217112118114331,0.8241740531469106,0.07858996094500484,0.6862620866989622,0.0877706473428055,0.3933885017229305,844,15,1085,175,1101,524
1692028137184030294,-0.03272641181629944,0.8312682016466347,-2.3547331470049335,-0.026625792168226373,0.8377527097483026,0.1733849503132182,0.7025941558099135,0.17931269023335675,0.40611586044381687,958,2,1199,158,1216,509
1692028196648036718,0.06585058791489169,0.8279457042608944,-2.3544935206911597,0.0700032716928411,0.8387680204433983,0.2700321035317953,0.6988668090212811,0.27828096438619276,0.40362999292431473,1073,3,1315,164,1340,513
1692028253272530317,0.15727298337423332,0.806909351449338,-2.3542608642916445,0.1624228558644827,0.8161740780229376,0.36363875475623175,0.6757967833303496,0.3719056968098641,0.38172591167825093,1183,30,1428,192,1458,541
1692028308727736473,0.2340999962567324,0.7740191721798741,-2.353959698941712,0.23927594419771459,0.7852417852718407,0.44073610653407724,0.6446920943171253,0.4477746886592573,0.3469295612823394,1275,66,1522,229,1555,585
1692028361009385109,0.2943805733459297,0.7363506915516334,-2.353706959961278,0.30028082592453714,0.7452684158555911,0.5018050313926787,0.6040275306051515,0.5102460639918829,0.30987866900682726,1349,112,1598,277,1636,632
1692030972046731472,0.3402352238786726,0.6983097348706893,-2.3521573661051702,0.34831527645480626,0.7071411226880588,0.53416145353891,0.5531178695372039,0.5362634404852838,0.2611927444324337,1408,156,1641,337,1673,694
1692029669349727631,-0.2741049155212302,0.7501853454654943,2.3532715870140897,-0.27911972982321065,0.753770480357008,-0.47504984192440086,0.5980234399420614,-0.5404357804861406,0.3110472310046515,651,91,398,269,285,624
1692029715785129309,-0.22087537328457632,0.780750411119159,2.3537233395824106,-0.2251490500319526,0.7847408826779139,-0.420937115059075,0.6240144997594725,-0.4847922130045775,0.3384105569494448,718,57,468,239,361,589
1692029766897519588,-0.15638594021469493,0.8071811710247951,2.3540078504175153,-0.16300333466729017,0.8108336293949376,-0.35420203534863137,0.6495897895315749,-0.41916633522716584,0.36299822576007834,794,29,553,210,449,558
1692029810159249783,-0.08199316062323915,0.8254820201032795,2.354178761011828,-0.08762034038149674,0.8302358958361358,-0.27916551766656805,0.6669590226671689,-0.34628921940726576,0.37999635188697706,885,9,647,191,545,537
1692029852084751606,-0.0015819373708160916,0.832321646648392,2.3543495364583746,-0.005663995484330046,0.8390729458751769,-0.20157035257792305,0.674157023519163,-0.26775505763838736,0.38766171306803493,983,1,743,184,647,528
1692029890001424313,0.07894959868876897,0.8260881886635578,2.3545863150182766,0.07413294126024202,0.8298072211540769,-0.12161515098979986,0.6658925447123679,-0.18755328597216142,0.38109034787721335,1078,13,841,195,750,537
1692029941280869007,0.15364898181445957,0.8081752293143241,2.354795136155087,0.14888469995247222,0.8141119972272322,-0.046350161516926,0.6497982036175304,-0.11085592690147347,0.3626041140546523,1167,32,933,215,848,561
1692029992894298077,-0.17993093522846412,0.7988625242545039,-2.354976428875754,-0.1786822054278953,0.8078536271436424,0.029031193709005216,0.6724812900404236,0.03792062037986518,0.38025177596273874,775,32,1025,190,1038,540
1692030035487880707,-0.10744616052868325,0.8206449427427107,-2.354769386928539,-0.10345465756183415,0.8290246310325623,0.09848942385722048,0.6909266129543091,0.10761334196979183,0.39673915434619084,866,10,1109,170,1126,520
1692030089105718851,-0.027180971326046202,0.8315326191179306,-2.3545626815703335,-0.02327946299947485,0.8396257056587402,0.17917258770249855,0.7009345271807329,0.18493203241019526,0.40777069476621175,962,0,1206,160,1223,507
1692030135207083225,0.05524963195278995,0.8292421539472787,-2.3542921360463844,0.06075813066876268,0.8413004079021941,0.2599379764711455,0.6969541447893752,0.26864185383995187,0.4027510645334249,1062,0,1303,166,1328,514
1692030188490958214,0.1333804988257975,0.8141336087319426,-2.3540975428119544,0.13894072618741005,0.8238446133660188,0.3395796029192416,0.6806771520049821,0.34482062761680865,0.3855642975059021,1155,21,1399,186,1424,536
1692030239770281792,0.20228822725382514,0.7895249661423653,-2.353919386072767,0.20844097325092012,0.7990354845134404,0.407978985808898,0.6581351558403754,0.4180900534464137,0.36034904088844677,1238,50,1482,213,1517,568
1692030294557454109,0.2597583862412596,0.7593028240648609,-2.3535629078487665,0.26745602388931283,0.7696416215894172,0.46646263866983306,0.6268498463096513,0.4747316774070847,0.3295432884269378,1309,84,1554,250,1590,607
1692030387094147444,0.3059759895562058,0.7274205094683592,-2.3532848998230924,0.3134478818810743,0.7375025422489571,0.5100805064205964,0.5903884460957356,0.5131829283830645,0.2948749965244154,1365,121,1609,293,1641,651
