ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693322961100195169,-0.4251360550048266,-0.24986705971320844,0.4023694723571028,1.7603595113267974,-0.4276959037070284,0.40402871012559993,-0.590064956500751,0.3155517816955752,-0.6821615734677554,0.1413607245464128,374,492,137,612,-23,861,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.15,-0.699999996515515,0.149999999384496
1693323004529228210,-0.35492658427459184,-0.24999734595171014,0.4424445394475426,1.4694016290916705,-0.35335640657379636,0.4432571933828578,-0.5014003922405973,0.3204539348653289,-0.5829435996561072,0.13957675444621753,480,440,263,606,122,864,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.15,-0.599999998981197,0.149999999668922
1693323065496971130,-0.28389087610649066,-0.24989489323328473,0.47176543079851313,1.2234385118756146,-0.280328266095887,0.46868966213631397,-0.4086659946917116,0.32468494744170273,-0.4813539654034992,0.13915271297298226,582,407,394,601,270,865,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.15,-0.499999999735343,0.149999999317009
1693323095896993399,-0.20985503437878933,-0.24991049082904987,0.4924806006265009,1.0192538589798794,-0.2065232987968891,0.49286066579835613,-0.31618895761144006,0.32965719730953513,-0.3848656738112012,0.13939557470502817,684,376,524,595,410,865,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.15,-0.399999999156665,0.150000000408647
1693323125128225565,-0.14113602671273429,-0.2499307530166202,0.5119643007925029,0.7890089810376687,-0.13709576639274465,0.513390286431348,-0.22612889865807495,0.3360892784494167,-0.2838970256091343,0.1423884606328475,779,350,650,587,556,861,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.15,-0.299999999104907,0.149999998809494
1693323150517537594,-0.0768153642742644,-0.24996684759593657,0.5284080515974094,0.5399605356618562,-0.07443568678659059,0.5286344364039539,-0.13625752245646702,0.34182393458586857,-0.18590522849953178,0.14676270850846995,864,331,775,580,697,855,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.15,-0.199999999142338,0.149999997510589
1693323167721980572,-0.02293430914090215,-0.2500020104148282,0.54165428550628,0.23078715144594103,-0.018813645832036457,0.5446641899825342,-0.04950804566931794,0.34683233241795397,-0.08664181112266063,0.15047430480410018,939,311,895,574,839,850,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.15,-0.100000000027165,0.149999997214814
1693323185260607719,0.025976351949918056,-0.24997471507414368,0.5467862005080574,-0.10517279143089456,0.02894080241973173,0.5514090266007494,0.042789516709707966,0.35117037750103774,0.029393400022466633,0.151485475092192,1003,303,1022,569,1004,849,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.15,-1.26470275224611e-09,0.15000000071064
1693323203634380579,0.0729458460584859,-0.24997701843997627,0.5419767697554553,-0.4543145824652401,0.07530339601511221,0.5457749004019504,0.12384163103552258,0.3539724301295363,0.12412281369992789,0.15382763569551283,1065,311,1133,566,1138,846,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.15,0.099999998301808,0.150000000149499
1693323224681223869,0.1306043353083615,-0.24994066760436273,0.5304295979612823,-0.7441290352369311,0.13212437826428597,0.535626573850324,0.20886281029979578,0.3546018302393112,0.21711371881577934,0.1533949734097274,1141,325,1249,566,1269,847,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.15,0.199999998326,0.149999999975432
