ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693382647904940605,0.24263407463985068,-0.20023010847938777,0.769717663806863,0.0012329858863633588,0.250303205019204,0.774633821791934,0.25606216401196397,0.3931779469776757,0.23470187090815497,0.018892662163080276,1275,56,1293,526,1281,1030,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.15,0.228582938673032,0.0212689631516501
1693382674463639021,0.2952055738880418,-0.20005875888444277,0.7362986858474764,0.0009260992221917961,0.3034289846555208,0.7414576424270541,0.31480382163488024,0.36088559476070414,0.27614896004830053,0.004804838534174682,1342,96,1370,568,1338,1050,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.4,0.15,0.281214383307076,-0.0123929579228244
1693382693672764063,0.3361263354586496,-0.2000324444657219,0.7028735388063907,0.0009251918866145505,0.3424828534640211,0.7065880040587542,0.3599827711818297,0.32714559414563904,0.31805334415356196,0.004789362067369796,1392,138,1430,612,1395,1050,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.5,0.15,0.322170034732409,-0.0458127939914761
1693382707369467497,0.367603355811864,-0.20003667352516444,0.6715719867083394,0.001046149015345525,0.37254073088267187,0.6743385164210715,0.38784508720900923,0.2927630421298334,0.3489494709369094,0.004073954201815777,1431,177,1468,657,1437,1051,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.6,0.15,0.353660729629046,-0.0770709217768236
1693382725576240540,0.391820398233075,-0.19997223172852033,0.6432784382780192,0.0008385724619346099,0.395266841124746,0.6438639831696095,0.4142445122501217,0.2959806026682401,0.37170439237843095,0.001952952895523774,1461,214,1502,653,1468,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.7,0.15,0.37785200092775,-0.105359094644171
1693382747624637365,-0.35860447013171537,-0.20000499196778393,0.6812307382566217,-0.0005544592651601149,-0.35733266108155365,0.6887011237034855,-0.37958254118540524,0.32148163751678593,-0.36821250532704636,0.0022715861895498124,509,147,459,613,448,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.25,-0.372740108410775,-0.0676866444486323
1693382756310422182,-0.33015896678793216,-0.2000014610827076,0.7083361578794464,-0.0005120953799027159,-0.3287624118619021,0.7140200169278842,-0.34722517984677426,0.3506498194224372,-0.3389307822796271,0.0022589764871653317,547,117,504,575,489,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.25,-0.344286652870048,-0.0405920474062021
1693382765831417322,-0.2946106976334655,-0.20000605999659074,0.7368412838350953,-0.0004461237852893722,-0.291453452684392,0.7430168880502453,-0.3156224064828924,0.3181083625966614,-0.30531722470545575,0.0022445013500155264,596,83,544,618,536,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.25,-0.308734780766537,-0.0120742668772477
1693382797066875696,-0.2507110913209965,-0.200222007606206,0.7651196037183767,-0.0010843546410928692,-0.24830734110038472,0.773202402346093,-0.23367562716731388,0.3884477116372658,-0.2584077499126206,0.011956268900301215,652,48,656,527,602,1040,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.25,-0.264724825103159,0.0166271144573252
1693382808759508133,-0.19730785443781657,-0.20026175194448384,0.7920437502725013,-0.0006141637747990748,-0.19349862685867883,0.7995960259270803,-0.1795692684534304,0.41609718081644337,-0.20466531704859037,0.04062654883372119,722,18,728,492,678,999,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.25,-0.211295126079499,0.0434655558554371
1693382819449398041,-0.134497060220185,-0.20028627509950964,0.8142232399549965,-0.0004544060073202209,-0.12937200507463092,0.824658022290584,-0.11795768887897343,0.4401377170006456,-0.14153727404993213,0.0646391192550213,803,-10,809,462,766,965,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.25,-0.148494510297383,0.0656114502483947
1693382829137457371,-0.0641313714280763,-0.20024584160290126,0.8285696575332422,-0.0002185087535595714,-0.058011138969270785,0.828498636303457,-0.04719650323976236,0.4541900154289293,-0.07258818098129598,0.0803304639395146,892,-13,901,445,861,943,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.25,-0.0780314360495513,0.0799261257425438
1693382847344392538,0.010742467580138942,-0.20019299209934163,0.8326039590595018,0.0002809784925141738,0.012806538413537223,0.834926259540555,0.024810531786799653,0.4572450846796426,0.0013117126271266662,0.08470553726991525,980,-19,994,442,962,937,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.25,-0.00348566724502986,0.0839361803674438
1693382874070005894,0.08455231416386105,-0.20021800499138337,0.8254779501032401,0.000582467018575438,0.08792970071554983,0.8336751596703709,0.10011333662995592,0.4500416418524195,0.07546187545970633,0.07623910082590823,1073,-16,1091,452,1063,949,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.25,0.0703704050926132,0.0768798470612757
1693382892109408140,0.15299963535469313,-0.20024957541852947,0.808660486712826,0.0008760866965610786,0.15975535560366844,0.8159693726184035,0.16599179863212696,0.43247469897373997,0.14363499958939555,0.057082541092038586,1162,6,1176,475,1156,976,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.25,0.138975581960284,0.0600768669756464
1693382907643598318,0.2132957494677764,-0.20025615297795862,0.7848169505230028,0.0010666921794380184,0.2199409221279972,0.7895206663511642,0.2268967500656837,0.4070413320138959,0.205665919093917,0.033010810781349265,1237,38,1255,508,1241,1010,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.25,0.199247256387509,0.0363015971574645
1693382921006373644,0.26393283024100456,-0.20010717980794138,0.7573492107638358,0.0009705321445128037,0.269352911067816,0.7621551058065541,0.2758666840311742,0.38005383404959375,0.23655903710025275,0.006224401971735349,1299,71,1319,543,1284,1048,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.4,0.25,0.249992014079331,0.00868693126553011
1693382928857005596,0.3054694254063318,-0.20004503785372402,0.7285452574009565,0.0009518645242457898,0.3111288349128544,0.7305707140475131,0.32770666459592634,0.3532165200011578,0.2878557511954909,0.0033945253301755907,1352,109,1387,578,1354,1052,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.5,0.25,0.291513818846452,-0.0201323283405189
1693382937208626747,0.338878940518559,-0.20003618528060726,0.7003136215511201,0.0010220507737486373,0.34322404629973347,0.7049169875308893,0.36069239979673207,0.3256084455550181,0.3216510647021747,0.002677691925521253,1393,140,1431,614,1400,1053,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.6,0.25,0.324938688155636,-0.0483462076825099
1693382946896834373,0.36559221452019597,-0.20001091071259758,0.6737634977526465,0.0009824477703272117,0.36946704575090317,0.6776363131775915,0.3980571556191067,0.2966499036922077,0.3466504524252152,0.001963741971216515,1427,173,1481,652,1434,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.7,0.25,0.351658148415475,-0.0749112084239199
1693382960760670424,-0.3334303605312037,-0.20000358750700506,0.7054383065417571,-0.0005104716603831484,-0.328689216624535,0.7123565490264019,-0.35637542568809616,0.32239422743576274,-0.34250375503156233,0.0022605151303303206,547,119,490,612,484,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.35,-0.347563291379326,-0.0435009759911161
1693382969780644894,-0.303682644199944,-0.19999552826658318,0.7300682718568834,-0.0005077367328383179,-0.29994592311698465,0.7386896599087933,-0.32362457932962396,0.3623154699092997,-0.3139682419573041,0.00363524693843964,585,88,536,560,524,1052,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.35,-0.317798981954313,-0.0188479554440618
1693383002018119335,-0.26770872545832897,-0.19991245553661932,0.7553285651181159,-3.368426812939258e-05,-0.2638071426135911,0.7636548140933438,-0.24028083151083454,0.38143622566839774,-0.2572867421548878,0.0015296336629566643,632,59,647,536,603,1055,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.35,-0.281865257427611,0.00622701768045442
1693383016883990049,-0.2250320899261974,-0.20026630082645405,0.7791126264062216,-0.0006902046181521927,-0.2225501148230244,0.7863440290398428,-0.21053454777635183,0.40337394535864485,-0.23377743230506176,0.026604734614956937,685,33,687,508,637,1019,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.35,-0.239003914680117,0.0305476487311103
1693383030580751181,-0.17489607081225017,-0.2002724778441307,0.8010524774891798,-0.0005422187174366006,-0.17064441348003165,0.8102312179866547,-0.16140942094626184,0.4248493632800242,-0.1832176357517091,0.0490759740188389,751,6,752,481,708,987,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.35,-0.188890598939917,0.052453890493561
1693383040435917616,-0.11800216080517065,-0.20029466248665445,0.8185412383404276,-0.0004305688275000241,-0.11419577958355506,0.8275027247581851,-0.10492821445538081,0.44340292281137306,-0.12855382639810062,0.06961022871839762,822,-13,826,458,784,958,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.35,-0.131979556993042,0.0699225065143151
1693383049288972378,-0.056013527714642394,-0.2002318190054706,0.829552843723463,-5.122403574283466e-05,-0.05237632352860534,0.8277383197323522,-0.042535403406568986,0.45186529229907907,-0.06310541165865716,0.08176675682459467,899,-12,907,448,874,941,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.35,-0.0697807706664616,0.080922230744545
1693383059477983236,0.009381372246776973,-0.20020508598052122,0.8326222935543806,0.0003048101142749895,0.013603763095493071,0.8392557559138666,0.02325998961435914,0.456438963973407,-0.000885469211342943,0.08398888136741,981,-24,992,443,959,938,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.35,-0.00485508969546652,0.0839630479073183
1693383070001080036,0.07386891286966012,-0.2002144229077934,0.8272076870184045,0.00043065632694768704,0.07900742753226345,0.829202203148128,0.08847029546720606,0.4523065895208229,0.06665660080724564,0.0790821775840479,1062,-11,1076,449,1051,945,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.35,0.0596142525520421,0.0786007716148216
1693383080858242035,0.13458507738600717,-0.2002663901317378,0.8141978595849462,0.0008362292663343741,0.14119562799368568,0.8199520189148791,0.14822020560985733,0.44020787019210933,0.1253559989764622,0.06489115671695156,1139,1,1153,465,1131,965,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.35,0.120551700919092,0.0656079982496537
1693383092717705965,0.1897236325961236,-0.2002721714083099,0.7952084493327187,0.0010003810684394104,0.19670830920993135,0.8002729714708398,0.19994886577610327,0.4185958845770352,0.18019331911449923,0.045038427689017,1208,25,1220,493,1206,993,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.35,0.175665906622445,0.0466855398234134
1693383107583832741,0.23781339067602233,-0.20024900846351654,0.7723890706450656,0.0011335863827623156,0.24556171871197652,0.7788263906309923,0.24915492351338112,0.39625245706724216,0.2266783342757058,0.0210082126587523,1269,51,1284,522,1270,1027,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.4,0.35,0.223757668944271,0.0239117352661661
1693383133808014154,0.27858602716629316,-0.2000500819284438,0.7479544867741852,0.0008746399303035535,0.2836185321054058,0.7530270658462246,0.2880161422810352,0.37157421260195156,0.2599101237702327,0.002001095296610189,1317,82,1335,554,1316,1054,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.5,0.35,0.264624864900016,-0.000766670900647415
1693383147838967323,0.31270793786474327,-0.2000130301431211,0.7228970365617332,0.0008956157827797202,0.3173463850312107,0.7239064227055927,0.3313493632938062,0.34704185431772727,0.2930239874477858,0.004095466433839845,1360,117,1392,586,1361,1051,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.6,0.35,0.298746532316719,-0.0258214502824958
1693383159531910658,0.3409017791763098,-0.20002490762336386,0.6984381569066707,0.0010282677006768653,0.3470877464556744,0.700771946573186,0.36433437321802636,0.32024028871059196,0.32094250845909933,0.0033812910664848816,1398,145,1436,621,1399,1052,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.7,0.35,0.326948056817925,-0.0502089631786501
