ts,X_EE,Y_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end,Base_angle,X_ang_start,Z_ang_start,X_ang_end,Z_ang_end,U_ang_start,V_ang_start,U_ang_end,V_ang_end,Goal_X,Goal_Z,Endpt_Sol_X,Endpt_Sol_Z
1693388206043109894,0.23021830608440524,-0.25034606773898743,0.7753672531072342,-0.694679354684117,0.23713879079812844,0.7813004341752479,0.31929672034983547,0.4139035880463512,0.30738373561577614,0.039946233767918615,1274,15,1395,488,1402,1013,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.05,0.299999957806531,0.049999923195744
1693388229093778133,0.285370473385906,-0.2503611103944953,0.7417036485429629,-1.1211486040557967,0.29244038294068103,0.7463102312502979,0.41358131684188965,0.4034406999326208,0.4004873141383885,0.02849320973214997,1347,59,1522,503,1535,1030,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.4,0.05,0.39999994703723,0.0499999369974333
1693388255485332727,0.3460876229234916,-0.2502584987601982,0.6917995276367581,-1.5851126990706779,0.35447801056302153,0.6971595635103743,0.5121523352751283,0.38774674425795064,0.4887441001398064,0.017029483447492666,1430,121,1655,525,1661,1047,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.5,0.05,0.499999966157816,0.0499999658703782
1693388286554033995,0.413472218708898,-0.24998950597539893,0.6122714168088067,-2.1968615172659995,0.42143440586008846,0.6216282104910951,0.6217217793452476,0.3781266083405903,0.5950987813504679,0.01834449964535556,1522,217,1802,539,1811,1045,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.6,0.05,0.599999977984156,0.0499999830004755
1693388315784955025,0.445702365539697,-0.24997027543948086,0.5588589474778816,-2.353936424365379,0.45355128303392395,0.5671345392964215,0.6532118772357689,0.3589234029196444,0.6260048808895617,0.005527466703062922,1568,287,1846,565,1856,1064,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.7,0.05,0.637026585878219,0.0179585073970397
1693388369403365374,-0.39660521898089285,-0.25019300493048313,0.636532330916191,2.3533204035892563,-0.40084097493141235,0.6416629953103516,-0.5737453331948315,0.38847487678657827,-0.5906433415388337,0.02592185341796316,427,177,170,512,96,1034,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.7,0.15,-0.618657681134844,0.0874822743643871
1693388404647692680,-0.3587614517637121,-0.2502377926691518,0.6803818601905525,2.3534016430864897,-0.3640152498248511,0.6885915465877253,-0.5311238006475623,0.4308956614197675,-0.5602808098523268,0.0663140686226783,480,118,234,455,146,973,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.6,0.15,-0.580753826828628,0.131292317704723
1693388440226186991,-0.28882149207054975,-0.250339165603619,0.7393241714106678,2.0544245651908017,-0.29637937822890303,0.7479150700420639,-0.44845788369030776,0.45777965212711863,-0.4823885209589046,0.08846548772510388,574,45,351,420,263,940,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.5,0.15,-0.500000004903649,0.149999989049527
1693388469457189798,-0.20943674116749947,-0.2504717809447046,0.78537442939469,1.6911362537505605,-0.214480032834208,0.7808396290449237,-0.3429869823923097,0.47009881052908653,-0.37828412219782637,0.09871426761437396,684,6,497,405,416,925,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.4,0.15,-0.399999932316045,0.149999869696202
1693388499523569822,-0.12840324907489392,-0.250492794089011,0.8147111290218807,1.4362029805237349,-0.13831857567168293,0.8066579643641557,-0.2424174024993108,0.4786732607925141,-0.2739810517244098,0.10700620351936119,785,-24,635,395,568,913,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.3,0.15,-0.299999984946702,0.149999944557408
1693388519233864069,-0.0409267366969695,-0.25037941376389544,0.8300475201030992,1.291357806502305,-0.03139233579819165,0.8275058304162316,-0.13965354263361285,0.4850433439287099,-0.17306368707667466,0.11398716177225543,925,-47,775,388,714,903,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.2,0.15,-0.199999988688872,0.149999866721844
1693388544789852858,0.060827232596104924,-0.2503742750296778,0.8286517741363404,1.3072318510947532,0.056364155903884446,0.8200347098598236,-0.03994284801270165,0.489129137506289,-0.07279069234459863,0.11486191313825844,1039,-36,910,384,858,902,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],-0.0999999999999999,0.15,-0.10000001061239,0.149999930755815
1693388568174701929,-0.1410306498878391,-0.25034574040685187,0.8121279983486238,-1.4158043250039485,-0.1360980793908637,0.8099755723721835,0.007488503990514362,0.5003122871502308,-0.0015174547418901757,0.12664342003702822,788,-28,974,370,960,885,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],1.11022302462516e-16,0.15,9.95020436878047e-08,0.149999683008018
1693388592896102667,-0.024921048005793936,-0.25038633448438535,0.8317452178293445,-1.229700505713279,-0.016044756650938588,0.832742774517861,0.10736745433412388,0.5044524624319194,0.09766191427248588,0.13098960145238836,945,-53,1108,366,1101,879,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.1,0.15,0.100000006456098,0.149999896386762
1693388620958015919,0.07109537914360266,-0.2503465972945808,0.8265744743917336,-1.2778541979958336,0.0788153655035,0.8344962463697407,0.209087864144218,0.5001797047328675,0.20219002688167226,0.12778091733482955,1068,-53,1244,373,1249,884,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.2,0.15,0.199999999143368,0.149999995123404
1693388642338101387,0.15567112376237366,-0.25042501484975516,0.8065808088169415,-1.4605837003173927,0.1596177293764988,0.8054089147176497,0.3095765538829455,0.4943408839887588,0.29988135971973995,0.12109460079685086,1173,-16,1378,382,1387,894,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.3,0.15,0.2999999763921,0.149999928775785
1693388666391219139,0.23552060463555705,-0.25032764851236333,0.7723920771162942,-1.7451461491933298,0.2401654812428704,0.7788945037370669,0.4086433214438617,0.4846299568165252,0.39911042620813686,0.11163494632655091,1278,18,1510,396,1527,908,0.0,0.0,0.0,0.0,0.0,[0.],[0.],[0.],[0.],0.4,0.15,0.399999990174561,0.149999980417436
