ts,X_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end
1692087165498481512,-0.4426983438658936,0.5228119755724194,1.7836640493264162,-0.4435692486033483,0.5228535525569118,-0.6015270625457352,0.3073964072497031,-0.6540146546033327,0.018489694702052084,432,360,207,629,97,1021
1692087225964473009,-0.3681730051877052,0.5543661320059169,1.5211277562824828,-0.36865568001501553,0.5526297720342419,-0.503246683237467,0.3109644922131689,-0.551068369626571,0.020240587864985282,529,325,337,625,240,1018
1692087277076501846,-0.31445042785591687,0.5955068153750049,1.1152713359207327,-0.310870708501023,0.5942986704111466,-0.4102029440265201,0.32386182912807737,-0.45154308865694126,0.02912637175855648,604,276,460,609,378,1005
1692087319335927963,-0.36119242801025087,0.6451190932844629,0.05868427410517101,-0.3558482106349632,0.6504184006783993,-0.35391774530672404,0.34921170474605934,-0.3848816997991262,0.05108295297741594,551,209,535,577,471,974
1692087346395292521,-0.269715263001404,0.6451749970250844,0.0014188427514523275,-0.2623949194419859,0.6500790683428866,-0.25182261943137213,0.3482468304216014,-0.2744772273467697,0.051512074910349925,667,211,667,579,621,973
1692087364769011736,-0.17005490668207066,0.6452028532625671,-0.0007651411517009412,-0.16198817115031283,0.6498326176507647,-0.152304555912034,0.34804784752329143,-0.1752506442908335,0.05269731426659663,791,213,795,580,755,971
1692087386149173498,-0.07009907711390823,0.6452324941008794,-0.00015064716514975507,-0.06347929667252299,0.6478322747935418,-0.053805207708233466,0.3478385307953319,-0.07540336028343958,0.053165082765656124,912,217,921,581,889,970
1692087422228348970,0.029603381606206264,0.6452128197208817,0.000541838311865029,0.03550465684998498,0.6475430929634125,0.0420733950281611,0.34681586624400584,0.020534701656361013,0.0551010409225724,1033,219,1043,583,1017,967
1692087448953623772,0.1296291478668791,0.6452067817295348,0.0009243456541982965,0.1358144901443361,0.6464015960652425,0.14082825697751597,0.3465974749964551,0.11702775780661301,0.05486086010155944,1155,222,1168,584,1145,967
1692087468496528387,0.22966016952134266,0.645174852150028,0.001230629825171247,0.23336729964048908,0.646936441963948,0.23693236034097687,0.3463594141301447,0.21405582766696518,0.054619347578170885,1273,223,1289,585,1273,967
1692087500232728243,0.2756724316298749,0.6380717406298788,-0.367014942434879,0.27954317715814914,0.6389508896284406,0.3279009979929456,0.3452880577840608,0.3144831503723734,0.04997251957357929,1329,233,1403,587,1405,973
1692087539318469048,0.36504576409295303,0.635044412435625,-0.44081597388698973,0.3692830325619548,0.6367521009382672,0.4265414254229925,0.3442529880009543,0.41254883318998004,0.04971617372919401,1437,237,1526,589,1533,973
1692087576065800667,0.4117726477335901,0.6129681741362416,-0.8270471731840988,0.4165457069927047,0.6158173545683603,0.5083712488974856,0.3383011792720728,0.4976129404167895,0.04360947009417193,1495,262,1628,597,1644,981
1692087631353862524,0.4429519223950704,0.5605336617062997,-1.3982646246061334,0.45020584258436636,0.5648846567704139,0.5881012364838384,0.32350738924196676,0.579111993893095,0.028681228278766846,1539,322,1728,616,1751,1001
1692095277863689899,0.47521805921769933,0.45796980070964355,-2.1975436607346532,0.48198392789730804,0.4661168117451261,0.6776014602702292,0.3087541004462524,0.6759528265261445,0.019556264172424842,1585,440,1840,635,1877,1013
1692088470710009098,-0.41719630738196384,0.5803115110998966,2.10447800238562,-0.41937032039471506,0.5820014956186266,-0.5961592614355005,0.398837103157776,-0.6519926821330521,0.11213298555684192,467,289,224,512,112,890
1692088527000444889,-0.340436784515584,0.619334051174759,1.8119831993430042,-0.34316169501257104,0.619171342514127,-0.5004815428882611,0.4035213784251374,-0.5525658570314076,0.11204629784028264,565,246,349,507,248,890
1692088564248788357,-0.30966712052072976,0.6919339442566252,1.1552685571024015,-0.30763832075676173,0.6914789662382583,-0.40793416386340564,0.42018960739431604,-0.4498620718659754,0.127301076620989,613,162,470,487,389,869
1692088593813640594,-0.2944978828612076,0.7348654737835004,0.5168426336634625,-0.28754551247551186,0.7387268983681125,-0.33032694658978656,0.44172277496483986,-0.36117169112819025,0.1464049652749494,640,108,571,461,510,843
1692088625884171963,-0.16424308487681732,0.7239737598767841,0.7338600866057894,-0.15867018120656098,0.7234265210868132,-0.22343845879163376,0.43456557794452644,-0.25787615367096095,0.1419782824128748,797,128,707,471,648,849
1692088651941559076,-0.17016386431681177,0.7453237681106241,-0.0005675679235620837,-0.16417850737379497,0.7505115571953629,-0.15208485252653406,0.448942250671734,-0.1718102469314409,0.15386014362084488,791,97,798,454,763,833
1692088668811908484,-0.07013020013897743,0.7453193072059229,-0.00011622205704967338,-0.06354165470098774,0.7496219357584624,-0.052988857149513735,0.4473730077961649,-0.07426640224174769,0.15463958515873732,913,100,923,457,892,832
1692088685515264988,0.029647947780246986,0.7453094602371226,0.0005420927399279935,0.03595256350104045,0.7504668240764384,0.04581594865089629,0.4474202599559494,0.023845854240832964,0.15467527563473316,1033,101,1047,458,1021,832
1692088704389844179,0.12968436483419354,0.7453060305702477,0.0007216334776571284,0.13596035841657778,0.7495435001659602,0.14271689566327053,0.44581119103337424,0.12021185310228195,0.15471033087138264,1153,104,1168,461,1147,832
1692088726939522743,0.17560246271802324,0.7381070608243628,-0.36812071032779276,0.18096950025036135,0.7423456925025316,0.2280337513472434,0.445729173429118,0.21472992477797537,0.15248846540930228,1207,113,1274,462,1270,835
1692088755502302885,0.28693662677515064,0.7405296549524558,-0.2897888176228931,0.2926625165573231,0.7442501721856214,0.3307815486247998,0.4457932160832307,0.3159654413963969,0.15176485230966463,1340,113,1401,463,1401,836
1692088788407773495,0.31792745695111224,0.7164222262768105,-0.7816825889270197,0.3227828159127567,0.7190740752992045,0.4101776321479569,0.440716736648213,0.3980306887753735,0.14650233750427166,1377,142,1499,470,1507,843
1692088828161724567,0.36015350835215326,0.6766806696002061,-1.2449526438832674,0.36724406005765176,0.6810985335738831,0.49345620242400456,0.4290794409415138,0.4860880131893491,0.1336785046790634,1432,186,1602,485,1621,860
1692088871590503454,0.40834472365217556,0.6180096355349192,-1.7543669516468998,0.4170675627482168,0.6253113902957564,0.5815733120159516,0.415001658608031,0.5796261006078743,0.11932823023897698,1495,251,1711,503,1742,879
1692095348351855993,0.4582389613704848,0.5315576616066932,-2.3518374429903464,0.4636304894501484,0.540447976042409,0.6562082168809704,0.386922507531444,0.6637155321589653,0.09521539335398876,1557,351,1805,538,1852,911
1692089718823422432,-0.3943307527195779,0.6390703141602716,2.352079718214553,-0.3979470687684169,0.6421429001216492,-0.5765056877833923,0.4806672898256238,-0.6320345961336671,0.19876967228511166,498,218,258,410,150,772
1692089774612540245,-0.3311147790196012,0.7045425787388697,1.925188692371472,-0.3357151687678527,0.7039944406088829,-0.4934134443496006,0.4936826886564683,-0.5383192866238334,0.20414859418654396,579,147,366,395,277,765
