ts,base_pos_x,base_pos_z,mid_pos_x,mid_pos_z,end_pos_x,end_pos_z,assumed_base_Y,assumed_mid_Y,assumed_end_Y
1690201213936910870,0.014289655122185196,0.700830975075911,0.017849181258686148,0.4017138972813207,-0.0014548104834018489,0.10751632813543988,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201214101526282,0.012295755858420843,0.7004292881681677,0.023353045225719196,0.3994702151357062,-0.0036027842829342207,0.10769908385920202,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201214269395944,0.012431133014452143,0.7005067525750912,0.022078713477064214,0.401274594943141,-0.0011673155087195772,0.10714498861224087,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201214435039749,0.013694158046358046,0.6992708797298879,0.02094662729686718,0.39872734085748285,-0.0033850110530289287,0.10813142234247664,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201214602107800,0.013623432474652556,0.7016098792630979,0.02503959416886269,0.40209553194706943,-0.004382244694767225,0.10670972714781979,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201214774876647,0.01344077439858841,0.6999217857898796,0.018994730102910293,0.4027565591005785,-0.0009753708308390691,0.10689457384180956,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201214937957114,0.013873808823292094,0.7005373800772692,0.023274698604495832,0.40184782393594765,-0.002746535509468271,0.10802584517073266,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201215105141613,0.015956392153106107,0.7008527972279074,0.02060219321616083,0.4020417329754349,-0.0026215455697031747,0.10737646401358825,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201215271433035,0.013183994153692234,0.7011391127974683,0.02274942718363325,0.3992017331134202,-0.003925657531433549,0.10751050357087,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201215438918225,0.013464360674795124,0.7018179182779993,0.021509332733273864,0.40135352552919423,-0.0037822359862947266,0.10769017069570008,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201215605239452,0.013103125244008924,0.7005339512710737,0.021022639810134178,0.401892805038749,-0.002062773244644593,0.10717943938302776,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201215774406969,0.012183680436682838,0.7010880256668875,0.01908243293351109,0.40176262443488064,-0.0018003946062789787,0.10659753521633808,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201215947692064,0.013261509428262878,0.6999749704703522,0.020821310752515143,0.40204903737916453,-0.0032234357587463385,0.10737421172746742,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201216109543882,0.013342274280771383,0.7005218728955782,0.022082290921516045,0.4001477306590391,-0.0012273453161553358,0.10713746519278267,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201216273977908,0.012082672841495248,0.6991218314119586,0.021983573051749666,0.39868969944973437,-0.001910984446180937,0.107355929313808,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201216440768590,0.013696039132020584,0.7015615151205872,0.02167899066041061,0.4004301662410759,-0.002949823845605392,0.10778777898513825,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201216609713501,0.012287841322832132,0.6985245818944781,0.021183420197734205,0.4010450049983914,-0.0050846364875000456,0.10790813040497438,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201216777425808,0.011498737081125037,0.7005213663826637,0.02208288824387522,0.401575683590876,-0.0034285815363256523,0.10832506878020065,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201216941679151,0.012943942783463936,0.7006757352248381,0.021304162699000467,0.4015670968941553,-0.001690919221048262,0.10734187757069436,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201217109263857,0.01265836481542791,0.7002096577448658,0.022031123576278268,0.39946839840298126,-0.0010212031463022117,0.10695064279749844,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201217275309361,0.012644732279414251,0.7005403850855897,0.02283659412454942,0.40272722833700275,-0.0042834852449911785,0.10730072888661746,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201217442521650,0.013641106184953214,0.7004516112227619,0.022264789100523444,0.4020353032921297,-0.003907051339882641,0.10711359403380893,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201217609299462,0.012742454660152098,0.6994890683800344,0.022469047291455796,0.40080701650737083,-0.002377161354505124,0.10738264560458288,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201217775393178,0.01420164866190008,0.7001117429182302,0.0214828063255407,0.39896903449443594,-0.0018070966070263452,0.10688607933922367,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201217942822141,0.012431673201983101,0.7008076486746583,0.022592533047904248,0.40059362045545943,-0.001750170202411713,0.10695351356823268,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201218110278701,0.010979594357060671,0.6994274741874213,0.02185805019515899,0.4007722356222236,-0.0033074979125666207,0.10809039323229575,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201218277617813,0.011827555977828488,0.7005127827023108,0.02234905618829825,0.40017445359394577,-0.0023601977380208992,0.10799660724331694,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201218444051521,0.013423652861844418,0.7013818411864543,0.020122426844801217,0.4002950663948104,-0.003318614791433751,0.10739389698687174,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
1690201218611289094,0.012693295909648575,0.7012839609721566,0.020207607999314765,0.4019662720097816,-0.0033811331823024662,0.10802517301711856,-0.2103157466088894,-0.2103157466088894,-0.2153157466088894
