ts,X_EE,Z_EE,Phi,X_base_meas,Z_base_meas,X_mid_meas,Z_mid_meas,X_end_meas,Z_end_meas,U_base,V_base,U_mid,V_mid,U_end,V_end
1692016788410331249,-0.06799827049103548,0.8280652070684307,0.0004447752501936848,-0.06177933192631675,0.8361520496705126,-0.05281264795102772,0.5304852311595186,-0.08285196493093992,0.23842460988837766,916,3,924,356,882,721
1692016812630210400,0.028909947011943687,0.8318179702423028,0.0006502669380882248,0.03717890813126319,0.8390209196487055,0.04470797409684077,0.534073099491706,0.0102200891983957,0.24328093933039951,1034,2,1045,353,1003,715
1692016833008613586,0.12268715208620891,0.8173237080816123,0.000923263678421437,0.1296434446750424,0.822761496088771,0.1351799836783584,0.5183779048810276,0.10438049402455124,0.22667713578662796,1144,22,1157,373,1125,737
1692016852384385109,0.2044830761837231,0.7888047263302014,0.001162071878700195,0.21162460277643097,0.7919095055933957,0.21474188604272534,0.48844866088605365,0.18356545648893602,0.19859972720430463,1242,58,1256,410,1228,774
1692016872261364222,0.2705788560755818,0.7529544499604758,0.0009754790348415515,0.2754860254303225,0.7581853851911068,0.27916240271876996,0.45191775850490185,0.24672811032139227,0.16304914173472795,1319,97,1337,455,1311,821
1692016891138638735,0.3213010431788278,0.7155679609723031,0.0009706901916597425,0.32859595573888783,0.7174032781562887,0.32939507302626053,0.4146959186150767,0.2985832407229228,0.1254859292368986,1384,144,1401,501,1380,871
1692016906169203758,0.35935490252409236,0.6800198446740682,0.0011368571119010514,0.3638884889828634,0.6810474219327989,0.3673733622909999,0.38170437550906533,0.33615791818180674,0.08748928403837697,1428,186,1450,542,1431,922
1692016921035342693,0.38772063612113716,0.6479272902408302,0.001485588084225037,0.39161059712717267,0.6492027025675453,0.394639028023284,0.3488770727303143,0.36448207968306584,0.05497930998291323,1463,223,1486,583,1470,966
1692016932727724791,0.40905866322414336,0.6197212566878786,0.0014279170812119722,0.41261044289938525,0.6200735695971198,0.4179244982892048,0.32025077354124254,0.3821325233900195,0.027122829388876002,1490,257,1517,619,1495,1004
1692017464897728920,-0.3689359410041565,0.6699078421735447,-0.0010340105718101588,-0.36202043903807757,0.6785716443352842,-0.34892898080989765,0.3736835415459272,-0.3796602017225109,0.07628301453570008,545,176,543,546,480,939
1692017480097623348,-0.34082620449418205,0.698527414763272,-0.00038794604009086527,-0.3340958952572798,0.7040206727734977,-0.32314042723611014,0.4032688354659175,-0.3516361721119789,0.10529709091168271,581,147,578,509,520,899
1692017494128672123,-0.3046033636979183,0.7292047048133059,-0.00034804228309328656,-0.29885544093103855,0.7359109621023986,-0.2868980627826406,0.4324207184368192,-0.3152597387822825,0.13755134723335782,626,111,626,473,571,855
1692017509829715967,-0.25878321397572845,0.7605270891517752,-0.00016335640692746183,-0.25255996574382633,0.7674428115247799,-0.24170658995936123,0.4643855213535457,-0.27022788862125474,0.17092895086220528,684,76,685,434,633,810
1692017527202490091,-0.2019271329919616,0.7901341378088604,0.00017966175290007569,-0.19576064697443096,0.7959444995314319,-0.1840333530717373,0.494369662751673,-0.21463408907693104,0.19946178875549392,754,45,759,398,708,772
1692017548080587149,-0.13394009120412706,0.8144466678536162,0.0003943987202181669,-0.12750549481280016,0.8222659977688542,-0.11838153179906682,0.5173182693746687,-0.14766016225367654,0.22530722800654557,837,17,842,371,797,738
1692017569794839621,-0.057100595214364565,0.8294116192673089,0.0004804581900574292,-0.05091741985760962,0.8381723022543771,-0.0431719130201219,0.5314248504390349,-0.07135752724387984,0.2399850181226496,929,1,936,355,897,719
1692017591342479229,0.024196317922638544,0.832062623770752,0.0006557004141184968,0.031295788305093324,0.8398085276340621,0.03663009065856314,0.534817733888223,0.007133546740780698,0.24327197814325863,1027,1,1035,352,999,715
1692017614894090176,0.10360413678376953,0.8217705572616663,0.0008598336662715503,0.11034074184557423,0.8287087556475554,0.11499939513016344,0.5231631700891475,0.08355498071763706,0.23198488539793805,1121,15,1132,367,1098,730
1692017635773347855,0.17558270698311063,0.8007233104325213,0.0010729596811417568,0.18329044011017553,0.8057594274213498,0.18593798695474964,0.5030960735423782,0.1536143742898692,0.20921232309910442,1208,42,1220,392,1189,760
1692017654982408285,0.2370368826297573,0.7727593853418653,0.0010860224482676301,0.24411849204403907,0.7781647326796903,0.24593706439988228,0.47468513608308105,0.2147991711471977,0.1804165173581368,1281,74,1295,427,1269,798
1692017675026431799,0.2872493960483187,0.7417370625158752,0.000933033214300448,0.2926961735518247,0.7451388991906479,0.2958193220778623,0.4430314009239147,0.2640199953468344,0.14949291028951517,1340,112,1358,466,1334,839
1692017693232965708,0.3271323758635209,0.7105894772120067,0.0009749181771948055,0.3318085642686804,0.713926280651485,0.33490510466465906,0.41148092145007875,0.30363124380476014,0.11726496699757938,1388,148,1408,505,1387,882
1692017709602359772,0.358444932043819,0.6809604930957716,0.0011485437354718463,0.3631743991332832,0.6836626229743642,0.3657609800249678,0.38169344717083215,0.33395660344257844,0.08971531978301561,1427,183,1448,542,1428,919
1692017721962805033,0.38297347715577995,0.6537487412735568,0.001290877521669405,0.3861519303552546,0.6569470498259015,0.39159563725555,0.3520666836667078,0.360223132775766,0.06160544959164427,1456,214,1482,579,1464,957
