ts,Theta0,Theta1,dTheta0,dTheta1,ddTheta0,ddTheta1
0.0,1.9557371360428932,-3.0235858830099405,-1.4654034297986533,2.7923354543419387,-23.89248781151842,34.903961917733156
0.03333333333333333,1.9089457094878188,-2.929425686881868,-2.2175877445337426,3.6764114869818685,-24.805054186097745,27.31912082729687
0.06666666666666667,1.8094337181824816,-2.737200587593462,-2.987473714592521,4.362522816494194,-23.63975346081984,18.54616236381179
0.1,1.7007745616550738,-2.5678399318417484,-3.8038481154055823,5.086761191790748,-23.280526209863428,17.897740688876198
0.13333333333333333,1.5672032828813487,-2.3881678118787444,-4.687919201618255,6.076657045003499,-24.97033146145126,28.292258104541148
0.16666666666666666,1.4113529183655584,-2.185410593266584,-5.681009970427249,7.618308217081768,-28.94080429329074,48.93322356962608
0.2,1.243183121618663,-1.9926146161657354,-6.682487493154314,9.43820954698945,-31.344300855506205,64.68242173366421
0.23333333333333334,1.029422145177658,-1.7040337606664875,-7.6753766005637,11.576998578334608,-31.159354650526915,72.810526998413
0.26666666666666666,0.7746044499489314,-1.3189817410334181,-8.5800719839463,13.782097929877315,-26.455190117008904,66.8543162889527
0.3,0.48565501518998844,-0.8477716831166104,-9.20600819963336,15.395539572546735,-15.010205351638248,39.4984827189534
0.3333333333333333,0.1700999597133548,-0.3049568554130776,-9.463929464993242,16.10817016413455,0.1447642241943683,0.7748968564631156
0.36666666666666664,-0.15658433899563695,0.25593400708508784,-9.280950443923524,15.631497058213423,15.053054175673342,-38.254696181806175
0.4,-0.47396106093610896,0.8008078452380673,-8.65346965325425,14.043850127050055,25.7777489408046,-64.06114593132884
0.43333333333333335,-0.7484061085969212,1.2310576732875371,-7.724216380160305,11.856320126127633,29.90138835615279,-68.72577176263854
0.4666666666666667,-0.9983435239931597,1.6110643719999826,-6.707847772247344,9.735991979333594,29.65294421641249,-58.06975895961463
0.5,-1.2120040396487533,1.9092092187443002,-5.756078133636164,8.086433909014444,26.78335491765109,-40.29785282844866
0.5333333333333333,-1.413229212157935,2.2036939043073462,-4.861264865770989,6.870055509502518,24.06582804467791,-24.9269488821955
0.5666666666666667,-1.5792881868742608,2.4375800850709575,-4.063453068108686,6.069229618131939,23.288741527225994,-19.18038390344359
0.6,-1.7178558757137494,2.639744099117802,-3.269259459119545,5.319069972350544,24.873641155547798,-24.79148938676865
0.6333333333333333,-1.8090481455675738,2.749578111414293,-2.410390152537312,4.335899288977798,27.360494822274173,-35.36240125720589
0.6666666666666666,-1.9101663845174897,2.988267914992309,-1.436141637199074,2.9145109335123673,30.913154777240646,-49.953047627103444
0.7,-1.9568876721849247,3.0935240439566534,-0.4033910229426534,1.2186961688451445,32.11901771706619,-57.02729776954501
0.7333333333333333,-1.9568876721849247,3.0935240439566534,0.6700724277278617,-0.6746811478547726,31.535508657806485,-57.16270979982103
0.7666666666666666,-1.949603561292419,3.1072280068694202,1.6743811114816243,-2.405206160399569,28.886629143067687,-49.185541647244364
0.8,-1.8902517463795727,2.9866477072759148,2.577945629766366,-3.859555875515447,25.782645154942585,-38.61138038080965
0.8333333333333334,-1.7977652190869713,2.847085967709034,3.3634077540636302,-4.98019071397425,22.48779369513543,-29.029812109609125
0.8666666666666667,-1.6855446448912366,2.6896806631735153,4.066831192728553,-5.900464602542379,19.43527161298166,-22.58117401087474
0.9,-1.5474799621753823,2.4948806883237062,4.718209136013058,-6.756726374577573,18.316813490770564,-24.697693331093483
0.9333333333333333,-1.394562429450135,2.2761796792721833,5.387690791762058,-7.860483937487127,19.121886566218336,-34.951949217068204
0.9666666666666667,-1.2087987973166605,2.005378836694682,6.038752585439536,-9.158977390406694,20.33372592649267,-46.70459628379374
1.0,-1.021139295044165,1.7267928679502427,6.687518597377201,-10.7025589032689,19.736148106429543,-51.14648395422892
1.0333333333333332,-0.7976479186494942,1.369460367006425,7.259930197476916,-12.224373477753009,16.010565298475132,-43.439161755508074
1.0666666666666667,-0.5563084299874623,0.9681592753326604,7.678561161529797,-13.405863226766467,9.104298490696575,-24.772995519222484
1.1,-0.29094366282267603,0.4895241560776269,7.845332520384163,-13.882086678548312,1.771303992759588,-6.498248029966035
1.1333333333333333,-0.039627345336407896,0.05616268678476352,7.775776310796983,-13.798570621232635,-7.265199881322765,16.030107065423973
1.1666666666666667,0.23616969710121738,-0.451528742447487,7.415015055769923,-12.968972156899508,-15.686279382541947,36.42904543332167
1.2,0.4749057007627035,-0.8570534347509432,6.789206263189178,-11.50355205794989,-21.014522359177864,48.05497490240652
1.2333333333333334,0.704375603870117,-1.252099095975136,6.043207042060096,-9.848980916552396,-24.017190093211205,53.30041574541846
1.2666666666666666,0.8943612374794426,-1.5498592939747453,5.233119960916152,-8.133470739201238,-24.549433186478417,49.77691246517842
1.3,1.068540556990235,-1.8128951889744986,4.439249302714559,-6.591597517681686,-23.271065632080226,42.04523766381401
1.3333333333333333,1.223769823745176,-2.054515248157227,3.666884504712615,-5.268574385353273,-22.63521041775994,36.09579429948654
1.3666666666666667,1.349475438530026,-2.249030192713944,2.8618166849457705,-4.007791636015007,-23.83987157442256,35.86283291829083
1.4,1.4347009496152379,-2.3505442064520254,2.0458149554552687,-2.789024268892028,-25.782950307807077,38.71426222227237
1.4333333333333333,1.5041808699092707,-2.443947439169239,1.1197537355967841,-1.3324491080017038,-28.087481292479588,44.34641624838357
1.4666666666666666,1.5414138207224026,-2.4846384806496884,0.18382210189715853,0.17062608366934706,-29.281183341933488,47.65531248831084
