ts,Theta0,Theta1,dTheta0,dTheta1,ddTheta0,ddTheta1
0.0,2.1764552389401204,-1.9204829740441818,-0.5965978424052234,-6.6044839511316695,-46.399686621314245,-2.734172884583238
0.03333333333333333,2.1692764704235694,-2.2322961083635318,-2.719177122732492,-4.849888539358802,-78.86030247580472,88.76405427222093
0.06666666666666667,2.152043176422763,-2.6609960632971354,-5.723402318687572,-0.4389675008632046,-103.65318671230466,178.674723699179
0.1,1.8863933125827288,-2.516734807609007,-9.080394685621764,5.714687075467998,-108.82817626439896,228.23231038491087
0.13333333333333333,1.705200732507045,-2.6741333601751904,-12.462878045868262,13.065462088810044,-96.31075976404432,233.0117506104074
0.16666666666666666,1.2756912095086403,-2.1574133649651692,-15.006488876733373,19.4626787870739,-61.14712444759424,172.53260204955734
0.2,0.6593788095144766,-1.1659549293937814,-16.437876137722014,23.897650331240882,-17.349612436378465,76.582603089582
0.23333333333333334,0.057247797779373166,-0.1940836162120636,-16.465273162936384,25.30158773698505,26.71730977471198,-29.50734981335489
0.26666666666666666,-0.4400303994317986,0.5017306238822014,-14.96889378951133,23.01943286076959,64.95345178881658,-123.22877660828185
0.3,-0.8024461501810747,0.8911657575317227,-12.366824183874416,18.072908078532873,87.85510076300558,-170.63690950843463
0.3333333333333333,-1.2858420699682114,1.6276131558867384,-9.265766043878621,12.21075730222913,93.00469792648677,-162.4838867754181
0.36666666666666664,-1.6197667044416328,2.172736852049225,-6.259849065211791,7.394455873451651,84.56921343185584,-113.27620467234424
0.4,-1.8343713563237687,2.4112766481163317,-3.5921553969600915,4.370501927726908,72.88307866703704,-63.32566758911051
0.43333333333333335,-1.9648607945763639,2.587106677525227,-1.4271202163953036,3.1646406571586283,61.45690393564982,-30.40040913923012
0.4666666666666667,-1.9648607945763639,2.587106677525227,0.5805930545195821,2.07921582347784,57.69415753001442,-27.636041851235937
0.5,-1.956990840551939,2.6276214419714123,2.555447697364256,0.6580712589388331,58.713363220928315,-49.53138049481142
0.5333333333333333,-1.8375613910405477,2.5597261696003195,4.547491970479177,-1.603174203803628,63.196822631189846,-88.4916503534187
0.5666666666666667,-1.7447356839419084,2.6883246988438283,6.6765628242077835,-5.097763505788272,55.19393281183402,-94.72851428132277
0.6,-1.486223484609306,2.4656904541979685,8.380390231363933,-8.209131565781567,49.05353015522003,-103.17401762095278
