ts,X,Z,Phi,Theta0,Theta1,dX,dZ,dPhi,dTheta0,dTheta1,ddX,ddZ,ddPhi,ddTheta0,ddTheta1,Fx,Fz,Ty
0.0,0.012517877094031536,0.7514082509383501,0.0004078465414776788,-0.37857672753598426,1.4615899614903496,0.007373808155097153,-0.015254007006555548,-4.716378425960639e-05,0.00266153273836478,0.08642747516289506,-0.09770923823394773,-0.22355595795570338,0.000244526389964167,-4.083792657703759,11.281718016951295,0.07368794688201744,-9.1411905464165,0.020933225830473925
0.03333333333333333,0.014055349649166715,0.7513178169505621,0.00040937522571174976,-0.3428888191143341,1.3700825739655664,0.0006804304683102266,-0.018483517631619595,-4.96600088479523e-05,-0.1444320782113747,0.45793650644051564,-0.23398642824083415,-0.08213451044969489,0.0009070661724426381,-4.950149775644001,12.282309543963631,0.06966912849614883,-9.162547993450454,0.020740753400697396
0.06666666666666667,0.014070479131571757,0.7513170155345404,0.0004082640746531078,-0.3365577314269147,1.3501300877949405,-0.004621557466236416,-0.01009564342601521,0.00016243478157646906,-0.13365349211420907,0.3501053689363951,-0.2143989182803806,0.2423891782113916,0.005520376541700834,-1.0417612105735383,0.3099201863639749,0.08706679178806992,-9.120132723404346,0.020943598412830878
0.1,0.010018455326894302,0.7501971345741435,0.00040733754533199464,-0.44352455989376044,1.6326045814900756,-0.013343283930171396,-0.003098303638340516,0.0002657306165596452,-0.2021252387696961,0.4485055520116754,-0.18671404473845543,0.33314679489393306,0.005064842044483722,0.07150167569501598,-2.736549806628247,0.030784001963702907,-9.169267733291155,0.019507970235130626
0.13333333333333333,0.015640773250785764,0.7475849373664394,0.0004103950376842816,-0.34289304270814597,1.3938632095281496,-0.016553094188822635,0.0025650409997169943,0.00019693618989912842,-0.21315638069537016,0.4331357164031202,0.03589837157663456,0.26993823399375394,0.001057999445674201,2.0890258124799743,-6.256017472266205,0.07185610435074809,-9.161284481654928,0.020418267074097062
0.16666666666666666,0.013286242501580269,0.7505730058114212,0.0004101548446084815,-0.36187195107451176,1.4195784146945334,-0.004407582901302783,0.005671339864729563,0.0003499390823125374,-0.040458644995861714,0.059078196909074565,0.5195133096023647,0.1066960469309528,0.0038335202150743108,6.36443616835998,-13.176988019142314,0.10839655988796984,-9.135146056123371,0.021296816971727386
0.2,0.010923151314914243,0.7491820098502352,0.0004103020317641176,-0.43894816954566185,1.6236679847492996,0.027245483920831405,0.008272509735323563,0.0007597745014011788,0.30716797411321445,-0.6160387587703631,1.1214760687499397,-0.032655021395616046,0.010349473174951046,10.439319183863837,-18.424052251366525,0.09772038901645021,-9.166252901437874,0.020975212044937977
0.23333333333333334,0.01396863216186802,0.7512479761667684,0.0005610380927427712,-0.34658083028225517,1.3792869675326742,0.06647099063965436,0.00878754429366968,0.0013484631228740404,0.4973121884578244,-0.745264618993049,1.4261750041606336,-0.1450516120634866,0.01583742366323082,7.032135737579585,-5.214376341309819,-1.3694248938763003,-9.071575570554373,0.01030764098181002
0.26666666666666666,0.012527001263603368,0.7506404933601121,0.0005109039855889361,-0.4271869423568742,1.6087428992091106,0.11497326958713455,0.002710430547171905,0.0016486003461293338,0.6312397762311055,-0.6389985406409959,1.5415373439896989,-0.2811555155182752,0.010407038285424285,2.5798826439982374,8.049800678334798,-0.9463777767732058,-9.137329949012813,0.10246450175262231
0.3,0.020970083701045573,0.7524672807479789,0.0004499479712884342,-0.2698588296255123,1.2255899264132324,0.1609208357609748,-0.00613226256435595,0.0014166287362470664,0.6709660535262503,-0.33102488072450575,1.3147117737393739,-0.30523890776138707,-0.004413457131005206,-1.6635249226851627,16.126434267515208,0.4937541638338036,-9.30350084430592,0.15829793812748993
