Gamma,Theta0,Theta1
0.19634954084936207,-0.8067508154623874,1.7914921389749923
0.39269908169872414,-1.4593247866853964,2.8396937791208976
0.5890486225480862,-2.1421798797649076,3.9364917954467686
0.0,-0.15980773171231358,0.7563498394824084
-0.0,-0.22193144673417545,0.919078999463194
-0.19634954084936207,0.3265045938872049,0.14621303247255169
-0.39269908169872414,0.9709319850344593,-0.8483111863630642
-0.5890486225480862,1.7180220180142791,-2.1454399719730874
-0.7853981633974483,2.304764483328135,-2.973548878035067
-0.9817477042468103,3.0207859573835005,-4.162715183219827
-1.1780972450961724,3.6420085694347883,-5.112191123891377
-1.3744467859455345,4.303527321391629,-6.166377343209641
-1.5707963267948966,4.937232578445518,-7.149695222280732
-1.5707963267948966,5.087147799340651,-7.493680571249097
-1.7671458676442586,5.68628572943947,-8.435521732899575
-1.9634954084936207,6.229418519465828,-9.20552238910618
-2.1598449493429825,6.771102141695103,-9.972860375282496
-2.356194490192345,7.265867716826427,-10.63632846162025
